study_accession	sample_accession	run_accession	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	experiment_alias	fastq_ftp	fastq_aspera	sample_alias	sample_title
PRJNA302818	SAMN04280396	SRR2937037			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945978	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937037/SRR2937037.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937037/SRR2937037.fastq.gz	GSM1945978	4sU-seq of YRI individual (NA18511) [18511-60-1_D2775ACXX-8-21]
PRJNA302818	SAMN04280397	SRR2937038			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945979	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937038/SRR2937038.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937038/SRR2937038.fastq.gz	GSM1945979	4sU-seq of YRI individual (NA18511) [18511-60-2_C30BHACXX-8-16]
PRJNA302818	SAMN04280398	SRR2937039			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937039/SRR2937039.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937039/SRR2937039.fastq.gz	GSM1945980	4sU-seq of YRI individual (NA18511) [18511-60-2_C30NNACXX-8-16]
PRJNA302818	SAMN04280401	SRR2937040			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945981	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937040/SRR2937040.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937040/SRR2937040.fastq.gz	GSM1945981	4sU-seq of YRI individual (NA18511) [18511-60-2_C311JACXX-8-16]
PRJNA302818	SAMN04280402	SRR2937041			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937041/SRR2937041.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937041/SRR2937041.fastq.gz	GSM1945982	4sU-seq of YRI individual (NA18516) [18516-30-1_D2775ACXX-1-03]
PRJNA302818	SAMN04280403	SRR2937042			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937042/SRR2937042.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937042/SRR2937042.fastq.gz	GSM1945983	4sU-seq of YRI individual (NA18516) [18516-60-1_D2775ACXX-1-04]
PRJNA302818	SAMN04280404	SRR2937043			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945984	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937043/SRR2937043.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937043/SRR2937043.fastq.gz	GSM1945984	4sU-seq of YRI individual (NA18517) [18517-30-1_D2775ACXX-1-11]
PRJNA302818	SAMN04280405	SRR2937044			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945985	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937044/SRR2937044.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937044/SRR2937044.fastq.gz	GSM1945985	4sU-seq of YRI individual (NA18517) [18517-60-1_D2775ACXX-1-12]
PRJNA302818	SAMN04280406	SRR2937045			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945986	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937045/SRR2937045.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937045/SRR2937045.fastq.gz	GSM1945986	4sU-seq of YRI individual (NA18519) [18519-30-1_D2775ACXX-5-11]
PRJNA302818	SAMN04280407	SRR2937046			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937046/SRR2937046.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937046/SRR2937046.fastq.gz	GSM1945987	4sU-seq of YRI individual (NA18519) [18519-60-1_D2775ACXX-5-12]
PRJNA302818	SAMN04280408	SRR2937047			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945988	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937047/SRR2937047.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937047/SRR2937047.fastq.gz	GSM1945988	4sU-seq of YRI individual (NA18520) [18520-30-1_D2775ACXX-4-22]
PRJNA302818	SAMN04280409	SRR2937048			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945989	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937048/SRR2937048.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937048/SRR2937048.fastq.gz	GSM1945989	4sU-seq of YRI individual (NA18520) [18520-60-1_D2775ACXX-4-23]
PRJNA302818	SAMN04280410	SRR2937049			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945990	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937049/SRR2937049.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937049/SRR2937049.fastq.gz	GSM1945990	4sU-seq of YRI individual (NA18522) [18522-30-1_D2775ACXX-4-20]
PRJNA302818	SAMN04280411	SRR2937050			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945991	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937050/SRR2937050.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937050/SRR2937050.fastq.gz	GSM1945991	4sU-seq of YRI individual (NA18522) [18522-30-2_C30BHACXX-4-13]
PRJNA302818	SAMN04280412	SRR2937051			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945992	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937051/SRR2937051.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937051/SRR2937051.fastq.gz	GSM1945992	4sU-seq of YRI individual (NA18522) [18522-30-2_C30NNACXX-4-13]
PRJNA302818	SAMN04280413	SRR2937052			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937052/SRR2937052.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937052/SRR2937052.fastq.gz	GSM1945993	4sU-seq of YRI individual (NA18522) [18522-60-1_D2775ACXX-4-21]
PRJNA302818	SAMN04280414	SRR2937053			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945994	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937053/SRR2937053.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937053/SRR2937053.fastq.gz	GSM1945994	4sU-seq of YRI individual (NA18522) [18522-60-2_C30BHACXX-4-14]
PRJNA302818	SAMN04280415	SRR2937054			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945995	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937054/SRR2937054.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937054/SRR2937054.fastq.gz	GSM1945995	4sU-seq of YRI individual (NA18522) [18522-60-2_C30NNACXX-4-14]
PRJNA302818	SAMN04280416	SRR2937055			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945996	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937055/SRR2937055.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937055/SRR2937055.fastq.gz	GSM1945996	4sU-seq of YRI individual (NA18852) [18852-30-1_D2775ACXX-7-03]
PRJNA302818	SAMN04280417	SRR2937056			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945997	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937056/SRR2937056.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937056/SRR2937056.fastq.gz	GSM1945997	4sU-seq of YRI individual (NA18852) [18852-30-2_D2775ACXX-4-13]
PRJNA302818	SAMN04280418	SRR2937057			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945998	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937057/SRR2937057.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937057/SRR2937057.fastq.gz	GSM1945998	4sU-seq of YRI individual (NA18852) [18852-60-1_D2775ACXX-7-04]
PRJNA302818	SAMN04280419	SRR2937058			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945999	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937058/SRR2937058.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937058/SRR2937058.fastq.gz	GSM1945999	4sU-seq of YRI individual (NA18852) [18852-60-2_D2775ACXX-4-14]
PRJNA302818	SAMN04280420	SRR2937059			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937059/SRR2937059.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937059/SRR2937059.fastq.gz	GSM1946000	4sU-seq of YRI individual (NA18853) [18853-30-1_C30BHACXX-1-03]
PRJNA302818	SAMN04280421	SRR2937060			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937060/SRR2937060.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937060/SRR2937060.fastq.gz	GSM1946001	4sU-seq of YRI individual (NA18853) [18853-30-1_C30NNACXX-1-03]
PRJNA302818	SAMN04280422	SRR2937061			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946002	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937061/SRR2937061.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937061/SRR2937061.fastq.gz	GSM1946002	4sU-seq of YRI individual (NA18853) [18853-30-1_C311JACXX-1-03]
PRJNA302818	SAMN04280423	SRR2937062			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946003	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937062/SRR2937062.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937062/SRR2937062.fastq.gz	GSM1946003	4sU-seq of YRI individual (NA18853) [18853-60-1_C30BHACXX-1-04]
PRJNA302818	SAMN04280668	SRR2937063			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937063/SRR2937063.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937063/SRR2937063.fastq.gz	GSM1946004	4sU-seq of YRI individual (NA18853) [18853-60-1_C30NNACXX-1-04]
PRJNA302818	SAMN04280669	SRR2937064			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946005	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937064/SRR2937064.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937064/SRR2937064.fastq.gz	GSM1946005	4sU-seq of YRI individual (NA18853) [18853-60-1_C311JACXX-1-04]
PRJNA302818	SAMN04280670	SRR2937065			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937065/SRR2937065.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937065/SRR2937065.fastq.gz	GSM1946006	4sU-seq of YRI individual (NA18855) [18855-30-1_D2775ACXX-5-09]
PRJNA302818	SAMN04280671	SRR2937066			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946007	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937066/SRR2937066.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937066/SRR2937066.fastq.gz	GSM1946007	4sU-seq of YRI individual (NA18855) [18855-30-2_C30BHACXX-3-11]
PRJNA302818	SAMN04280672	SRR2937067			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946008	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937067/SRR2937067.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937067/SRR2937067.fastq.gz	GSM1946008	4sU-seq of YRI individual (NA18855) [18855-30-2_C30NNACXX-3-11]
PRJNA302818	SAMN04280673	SRR2937068			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937068/SRR2937068.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937068/SRR2937068.fastq.gz	GSM1946009	4sU-seq of YRI individual (NA18855) [18855-30-2_C311JACXX-3-11]
PRJNA302818	SAMN04280674	SRR2937069			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937069/SRR2937069.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937069/SRR2937069.fastq.gz	GSM1946010	4sU-seq of YRI individual (NA18855) [18855-60-1_D2775ACXX-5-10]
PRJNA302818	SAMN04280675	SRR2937070			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946011	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937070/SRR2937070.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937070/SRR2937070.fastq.gz	GSM1946011	4sU-seq of YRI individual (NA18855) [18855-60-2_C30BHACXX-3-12]
PRJNA302818	SAMN04280676	SRR2937071			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937071/SRR2937071.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937071/SRR2937071.fastq.gz	GSM1946012	4sU-seq of YRI individual (NA18855) [18855-60-2_C30NNACXX-3-12]
PRJNA302818	SAMN04280677	SRR2937072			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937072/SRR2937072.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937072/SRR2937072.fastq.gz	GSM1946013	4sU-seq of YRI individual (NA18855) [18855-60-2_C311JACXX-3-12]
PRJNA302818	SAMN04280678	SRR2937073			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937073/SRR2937073.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937073/SRR2937073.fastq.gz	GSM1946014	4sU-seq of YRI individual (NA18856) [18856-30-1_D2775ACXX-5-05]
PRJNA302818	SAMN04280679	SRR2937074			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946015	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937074/SRR2937074.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937074/SRR2937074.fastq.gz	GSM1946015	4sU-seq of YRI individual (NA18856) [18856-30-2_C30BHACXX-1-11]
PRJNA302818	SAMN04280680	SRR2937075			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946016	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937075/SRR2937075.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937075/SRR2937075.fastq.gz	GSM1946016	4sU-seq of YRI individual (NA18856) [18856-30-2_C30NNACXX-1-11]
PRJNA302818	SAMN04280681	SRR2937076			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946017	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937076/SRR2937076.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937076/SRR2937076.fastq.gz	GSM1946017	4sU-seq of YRI individual (NA18856) [18856-30-2_C311JACXX-1-11]
PRJNA302818	SAMN04280682	SRR2937077			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937077/SRR2937077.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937077/SRR2937077.fastq.gz	GSM1946018	4sU-seq of YRI individual (NA18856) [18856-60-1_D2775ACXX-5-06]
PRJNA302818	SAMN04280683	SRR2937078			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937078/SRR2937078.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937078/SRR2937078.fastq.gz	GSM1946019	4sU-seq of YRI individual (NA18856) [18856-60-2_C30BHACXX-1-12]
PRJNA302818	SAMN04280684	SRR2937079			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946020	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937079/SRR2937079.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937079/SRR2937079.fastq.gz	GSM1946020	4sU-seq of YRI individual (NA18856) [18856-60-2_C30NNACXX-1-12]
PRJNA302818	SAMN04280685	SRR2937080			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937080/SRR2937080.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937080/SRR2937080.fastq.gz	GSM1946021	4sU-seq of YRI individual (NA18856) [18856-60-2_C311JACXX-1-12]
PRJNA302818	SAMN04280686	SRR2937081			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946022	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937081/SRR2937081.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937081/SRR2937081.fastq.gz	GSM1946022	4sU-seq of YRI individual (NA18858) [18858-30-1_D2775ACXX-4-15]
PRJNA302818	SAMN04280687	SRR2937082			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937082/SRR2937082.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937082/SRR2937082.fastq.gz	GSM1946023	4sU-seq of YRI individual (NA18858) [18858-30-2_D2775ACXX-6-18]
PRJNA302818	SAMN04280688	SRR2937083			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946024	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937083/SRR2937083.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937083/SRR2937083.fastq.gz	GSM1946024	4sU-seq of YRI individual (NA18858) [18858-60-1_D2775ACXX-4-16]
PRJNA302818	SAMN04280689	SRR2937084			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937084/SRR2937084.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937084/SRR2937084.fastq.gz	GSM1946025	4sU-seq of YRI individual (NA18858) [18858-60-2_D2775ACXX-6-19]
PRJNA302818	SAMN04280690	SRR2937085			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937085/SRR2937085.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937085/SRR2937085.fastq.gz	GSM1946026	4sU-seq of YRI individual (NA18859) [18859-30-1_D2775ACXX-7-09]
PRJNA302818	SAMN04280691	SRR2937086			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937086/SRR2937086.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937086/SRR2937086.fastq.gz	GSM1946027	4sU-seq of YRI individual (NA18859) [18859-30-2_C30BHACXX-8-25]
PRJNA302818	SAMN04280692	SRR2937087			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946028	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937087/SRR2937087.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937087/SRR2937087.fastq.gz	GSM1946028	4sU-seq of YRI individual (NA18859) [18859-30-2_C30NNACXX-8-25]
PRJNA302818	SAMN04280693	SRR2937088			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937088/SRR2937088.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937088/SRR2937088.fastq.gz	GSM1946029	4sU-seq of YRI individual (NA18859) [18859-30-2_C311JACXX-8-25]
PRJNA302818	SAMN04280694	SRR2937089			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946030	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937089/SRR2937089.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937089/SRR2937089.fastq.gz	GSM1946030	4sU-seq of YRI individual (NA18859) [18859-60-1_D2775ACXX-7-10]
PRJNA302818	SAMN04280695	SRR2937090			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946031	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937090/SRR2937090.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937090/SRR2937090.fastq.gz	GSM1946031	4sU-seq of YRI individual (NA18859) [18859-60-2_C30BHACXX-8-27]
PRJNA302818	SAMN04280696	SRR2937091			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946032	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937091/SRR2937091.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937091/SRR2937091.fastq.gz	GSM1946032	4sU-seq of YRI individual (NA18859) [18859-60-2_C30NNACXX-8-27]
PRJNA302818	SAMN04280697	SRR2937092			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937092/SRR2937092.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937092/SRR2937092.fastq.gz	GSM1946033	4sU-seq of YRI individual (NA18859) [18859-60-2_C311JACXX-8-27]
PRJNA302818	SAMN04280518	SRR2937093			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937093/SRR2937093.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937093/SRR2937093.fastq.gz	GSM1946034	4sU-seq of YRI individual (NA18861) [18861-30-1_D2775ACXX-3-09]
PRJNA302818	SAMN04280519	SRR2937094			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946035	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937094/SRR2937094.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937094/SRR2937094.fastq.gz	GSM1946035	4sU-seq of YRI individual (NA18861) [18861-30-2_D2775ACXX-7-01]
PRJNA302818	SAMN04280520	SRR2937095			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946036	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937095/SRR2937095.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937095/SRR2937095.fastq.gz	GSM1946036	4sU-seq of YRI individual (NA18861) [18861-60-1_D2775ACXX-3-10]
PRJNA302818	SAMN04280521	SRR2937096			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937096/SRR2937096.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937096/SRR2937096.fastq.gz	GSM1946037	4sU-seq of YRI individual (NA18861) [18861-60-2_D2775ACXX-7-02]
PRJNA302818	SAMN04280522	SRR2937097			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937097/SRR2937097.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937097/SRR2937097.fastq.gz	GSM1946038	4sU-seq of YRI individual (NA18870) [18870-30-1_C30BHACXX-1-05]
PRJNA302818	SAMN04280523	SRR2937098			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946039	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937098/SRR2937098.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937098/SRR2937098.fastq.gz	GSM1946039	4sU-seq of YRI individual (NA18870) [18870-30-1_C30NNACXX-1-05]
PRJNA302818	SAMN04280524	SRR2937099			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937099/SRR2937099.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937099/SRR2937099.fastq.gz	GSM1946040	4sU-seq of YRI individual (NA18870) [18870-30-1_C311JACXX-1-05]
PRJNA302818	SAMN04280525	SRR2937100			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1946041	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937100/SRR2937100.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937100/SRR2937100.fastq.gz	GSM1946041	4sU-seq of YRI individual (NA18870) [18870-60-1_C30BHACXX-1-06]
