#Columns I-K in this sheet references contents of cells in Human LCLs tab. tab separated values (tsv) organized like this is easier to parse with computer										
#ColumnsA-F are there to help me easily make the correct reference equations for columns I-K. Once you have a string for the desired cell equation, (minus the '=' sign, like in columns D-F) use search/replace to insert the '=' sign at the beginning of the string										
LineRowNumber	LineColumnNumber	LineColumnLetter	LineReferenceString	Notes1ReferenceString	Notes2ReferenceString	Box	Position	Line	Notes1	Notes2
109	10	J	Human LCLs'!J109	Human LCLs'!J110	Human LCLs'!J111	4	45	19114		
112	2	B	Human LCLs'!B112	Human LCLs'!B113	Human LCLs'!B114	4	46	19127		
112	3	C	Human LCLs'!C112	Human LCLs'!C113	Human LCLs'!C114	4	47	19127		
112	4	D	Human LCLs'!D112	Human LCLs'!D113	Human LCLs'!D114	4	48	19127		
112	5	E	Human LCLs'!E112	Human LCLs'!E113	Human LCLs'!E114	4	49	19127		
112	6	F	Human LCLs'!F112	Human LCLs'!F113	Human LCLs'!F114	4	50	19127		
112	7	G	Human LCLs'!G112	Human LCLs'!G113	Human LCLs'!G114	4	51	19127		
112	8	H	Human LCLs'!H112	Human LCLs'!H113	Human LCLs'!H114	4	52	19127		
112	9	I	Human LCLs'!I112	Human LCLs'!I113	Human LCLs'!I114	4	53	19127		
112	10	J	Human LCLs'!J112	Human LCLs'!J113	Human LCLs'!J114	4	54	19206		
115	2	B	Human LCLs'!B115	Human LCLs'!B116	Human LCLs'!B117	4	55	19206		
115	3	C	Human LCLs'!C115	Human LCLs'!C116	Human LCLs'!C117	4	56	19206		
115	4	D	Human LCLs'!D115	Human LCLs'!D116	Human LCLs'!D117	4	57	19206		
115	5	E	Human LCLs'!E115	Human LCLs'!E116	Human LCLs'!E117	4	58	19206		
115	6	F	Human LCLs'!F115	Human LCLs'!F116	Human LCLs'!F117	4	59	19206		
115	7	G	Human LCLs'!G115	Human LCLs'!G116	Human LCLs'!G117	4	60	19206		
115	8	H	Human LCLs'!H115	Human LCLs'!H116	Human LCLs'!H117	4	61	19206		
115	9	I	Human LCLs'!I115	Human LCLs'!I116	Human LCLs'!I117	4	62	19206		
115	10	J	Human LCLs'!J115	Human LCLs'!J116	Human LCLs'!J117	4	63	19206		
118	2	B	Human LCLs'!B118	Human LCLs'!B119	Human LCLs'!B120	4	64	19209		
118	3	C	Human LCLs'!C118	Human LCLs'!C119	Human LCLs'!C120	4	65	19209		
118	4	D	Human LCLs'!D118	Human LCLs'!D119	Human LCLs'!D120	4	66	19209		
118	5	E	Human LCLs'!E118	Human LCLs'!E119	Human LCLs'!E120	4	67	19209	*Ben took this and is in the midst of stocking a replacement	
118	6	F	Human LCLs'!F118	Human LCLs'!F119	Human LCLs'!F120	4	68	18907		
118	7	G	Human LCLs'!G118	Human LCLs'!G119	Human LCLs'!G120	4	69	18907		
118	8	H	Human LCLs'!H118	Human LCLs'!H119	Human LCLs'!H120	4	70	18907		
118	9	I	Human LCLs'!I118	Human LCLs'!I119	Human LCLs'!I120	4	71	19200		
118	10	J	Human LCLs'!J118	Human LCLs'!J119	Human LCLs'!J120	4	72	19200		
121	2	B	Human LCLs'!B121	Human LCLs'!B122	Human LCLs'!B123	4	73	19152		
121	3	C	Human LCLs'!C121	Human LCLs'!C122	Human LCLs'!C123	4	74	19152		
121	4	D	Human LCLs'!D121	Human LCLs'!D122	Human LCLs'!D123	4	75	19152		
121	5	E	Human LCLs'!E121	Human LCLs'!E122	Human LCLs'!E123	4	76	19152		
121	6	F	Human LCLs'!F121	Human LCLs'!F122	Human LCLs'!F123	4	77	19152		
121	7	G	Human LCLs'!G121	Human LCLs'!G122	Human LCLs'!G123	4	78	18912		
121	8	H	Human LCLs'!H121	Human LCLs'!H122	Human LCLs'!H123	4	79	18912		
121	9	I	Human LCLs'!I121	Human LCLs'!I122	Human LCLs'!I123	4	80	18912		
121	10	J	Human LCLs'!J121	Human LCLs'!J122	Human LCLs'!J123	4	81	19200		
128	2	B	Human LCLs'!B128	Human LCLs'!B129	Human LCLs'!B130	5	1	19093		
128	3	C	Human LCLs'!C128	Human LCLs'!C129	Human LCLs'!C130	5	2	19093		
128	4	D	Human LCLs'!D128	Human LCLs'!D129	Human LCLs'!D130	5	3	19093		
128	5	E	Human LCLs'!E128	Human LCLs'!E129	Human LCLs'!E130	5	4	19093		
128	6	F	Human LCLs'!F128	Human LCLs'!F129	Human LCLs'!F130	5	5	19093		
128	7	G	Human LCLs'!G128	Human LCLs'!G129	Human LCLs'!G130	5	6	19093		
128	8	H	Human LCLs'!H128	Human LCLs'!H129	Human LCLs'!H130	5	7	19093		
128	9	I	Human LCLs'!I128	Human LCLs'!I129	Human LCLs'!I130	5	8	19093		
128	10	J	Human LCLs'!J128	Human LCLs'!J129	Human LCLs'!J130	5	9	19093		
131	2	B	Human LCLs'!B131	Human LCLs'!B132	Human LCLs'!B133	5	10	19093		
131	3	C	Human LCLs'!C131	Human LCLs'!C132	Human LCLs'!C133	5	11	19093		
131	4	D	Human LCLs'!D131	Human LCLs'!D132	Human LCLs'!D133	5	12	19093		
131	5	E	Human LCLs'!E131	Human LCLs'!E132	Human LCLs'!E133	5	13	19139		
131	6	F	Human LCLs'!F131	Human LCLs'!F132	Human LCLs'!F133	5	14	19139		
131	7	G	Human LCLs'!G131	Human LCLs'!G132	Human LCLs'!G133	5	15	19139		
131	8	H	Human LCLs'!H131	Human LCLs'!H132	Human LCLs'!H133	5	16	19139		
131	9	I	Human LCLs'!I131	Human LCLs'!I132	Human LCLs'!I133	5	17	19139		
131	10	J	Human LCLs'!J131	Human LCLs'!J132	Human LCLs'!J133	5	18	19139		
134	2	B	Human LCLs'!B134	Human LCLs'!B135	Human LCLs'!B136	5	19	19092		
134	3	C	Human LCLs'!C134	Human LCLs'!C135	Human LCLs'!C136	5	20	19092		
134	4	D	Human LCLs'!D134	Human LCLs'!D135	Human LCLs'!D136	5	21	19092		
134	5	E	Human LCLs'!E134	Human LCLs'!E135	Human LCLs'!E136	5	22	19092		
134	6	F	Human LCLs'!F134	Human LCLs'!F135	Human LCLs'!F136	5	23	19092		
134	7	G	Human LCLs'!G134	Human LCLs'!G135	Human LCLs'!G136	5	24	19092		
134	8	H	Human LCLs'!H134	Human LCLs'!H135	Human LCLs'!H136	5	25	19092		
134	9	I	Human LCLs'!I134	Human LCLs'!I135	Human LCLs'!I136	5	26	19092		
134	10	J	Human LCLs'!J134	Human LCLs'!J135	Human LCLs'!J136	5	27	19092		
137	2	B	Human LCLs'!B137	Human LCLs'!B138	Human LCLs'!B139	5	28	18516		
137	3	C	Human LCLs'!C137	Human LCLs'!C138	Human LCLs'!C139	5	29	18516		
137	4	D	Human LCLs'!D137	Human LCLs'!D138	Human LCLs'!D139	5	30	18516		
137	5	E	Human LCLs'!E137	Human LCLs'!E138	Human LCLs'!E139	5	31	18516		
137	6	F	Human LCLs'!F137	Human LCLs'!F138	Human LCLs'!F139	5	32	18516		
137	7	G	Human LCLs'!G137	Human LCLs'!G138	Human LCLs'!G139	5	33	18516		
137	8	H	Human LCLs'!H137	Human LCLs'!H138	Human LCLs'!H139	5	34	18516		
137	9	I	Human LCLs'!I137	Human LCLs'!I138	Human LCLs'!I139	5	35	18516		
137	10	J	Human LCLs'!J137	Human LCLs'!J138	Human LCLs'!J139	5	36	18516		
140	2	B	Human LCLs'!B140	Human LCLs'!B141	Human LCLs'!B142	5	37	18516		
140	3	C	Human LCLs'!C140	Human LCLs'!C141	Human LCLs'!C142	5	38	18516		
140	4	D	Human LCLs'!D140	Human LCLs'!D141	Human LCLs'!D142	5	39	18516		
140	5	E	Human LCLs'!E140	Human LCLs'!E141	Human LCLs'!E142	5	40	18516		
140	6	F	Human LCLs'!F140	Human LCLs'!F141	Human LCLs'!F142	5	41	18516		
140	7	G	Human LCLs'!G140	Human LCLs'!G141	Human LCLs'!G142	5	42	18516		
140	8	H	Human LCLs'!H140	Human LCLs'!H141	Human LCLs'!H142	5	43	18516		
140	9	I	Human LCLs'!I140	Human LCLs'!I141	Human LCLs'!I142	5	44	18516		
140	10	J	Human LCLs'!J140	Human LCLs'!J141	Human LCLs'!J142	5	45	18516		
143	2	B	Human LCLs'!B143	Human LCLs'!B144	Human LCLs'!B145	5	46	19119		
143	3	C	Human LCLs'!C143	Human LCLs'!C144	Human LCLs'!C145	5	47	19119		
143	4	D	Human LCLs'!D143	Human LCLs'!D144	Human LCLs'!D145	5	48	19119		
143	5	E	Human LCLs'!E143	Human LCLs'!E144	Human LCLs'!E145	5	49	19119		
143	6	F	Human LCLs'!F143	Human LCLs'!F144	Human LCLs'!F145	5	50	19119		
143	7	G	Human LCLs'!G143	Human LCLs'!G144	Human LCLs'!G145	5	51	19119		
143	8	H	Human LCLs'!H143	Human LCLs'!H144	Human LCLs'!H145	5	52	19119		
143	9	I	Human LCLs'!I143	Human LCLs'!I144	Human LCLs'!I145	5	53	19119		
143	10	J	Human LCLs'!J143	Human LCLs'!J144	Human LCLs'!J145	5	54	19119		
146	2	B	Human LCLs'!B146	Human LCLs'!B147	Human LCLs'!B148	5	55	19119		
146	3	C	Human LCLs'!C146	Human LCLs'!C147	Human LCLs'!C148	5	56	19119		
146	4	D	Human LCLs'!D146	Human LCLs'!D147	Human LCLs'!D148	5	57	18192		
146	5	E	Human LCLs'!E146	Human LCLs'!E147	Human LCLs'!E148	5	58	18192		
146	6	F	Human LCLs'!F146	Human LCLs'!F147	Human LCLs'!F148	5	59	18192		
146	7	G	Human LCLs'!G146	Human LCLs'!G147	Human LCLs'!G148	5	60	18192		
146	8	H	Human LCLs'!H146	Human LCLs'!H147	Human LCLs'!H148	5	61	18192		
146	9	I	Human LCLs'!I146	Human LCLs'!I147	Human LCLs'!I148	5	62	18192		
146	10	J	Human LCLs'!J146	Human LCLs'!J147	Human LCLs'!J148	5	63	18192		
149	2	B	Human LCLs'!B149	Human LCLs'!B150	Human LCLs'!B151	5	64	18870	*Ben took this and is in the midst of stocking a replacement	
149	3	C	Human LCLs'!C149	Human LCLs'!C150	Human LCLs'!C151	5	65	18870	banked back by WL 8/25/20	
149	4	D	Human LCLs'!D149	Human LCLs'!D150	Human LCLs'!D151	5	66	18870		
149	5	E	Human LCLs'!E149	Human LCLs'!E150	Human LCLs'!E151	5	67	18870		
149	6	F	Human LCLs'!F149	Human LCLs'!F150	Human LCLs'!F151	5	68	18870		
149	7	G	Human LCLs'!G149	Human LCLs'!G150	Human LCLs'!G151	5	69	18870		
149	8	H	Human LCLs'!H149	Human LCLs'!H150	Human LCLs'!H151	5	70	18870		
149	9	I	Human LCLs'!I149	Human LCLs'!I150	Human LCLs'!I151	5	71	18870		
149	10	J	Human LCLs'!J149	Human LCLs'!J150	Human LCLs'!J151	5	72	18870		
152	2	B	Human LCLs'!B152	Human LCLs'!B153	Human LCLs'!B154	5	73	18870		
152	3	C	Human LCLs'!C152	Human LCLs'!C153	Human LCLs'!C154	5	74	18870		
152	4	D	Human LCLs'!D152	Human LCLs'!D153	Human LCLs'!D154	5	75			
152	5	E	Human LCLs'!E152	Human LCLs'!E153	Human LCLs'!E154	5	76			
152	6	F	Human LCLs'!F152	Human LCLs'!F153	Human LCLs'!F154	5	77			
152	7	G	Human LCLs'!G152	Human LCLs'!G153	Human LCLs'!G154	5	78			
152	8	H	Human LCLs'!H152	Human LCLs'!H153	Human LCLs'!H154	5	79			
152	9	I	Human LCLs'!I152	Human LCLs'!I153	Human LCLs'!I154	5	80	19139		
152	10	J	Human LCLs'!J152	Human LCLs'!J153	Human LCLs'!J154	5	81	19139		
159	2	B	Human LCLs'!B159	Human LCLs'!B160	Human LCLs'!B161	6	1	19225		
159	3	C	Human LCLs'!C159	Human LCLs'!C160	Human LCLs'!C161	6	2	19225		
159	4	D	Human LCLs'!D159	Human LCLs'!D160	Human LCLs'!D161	6	3			
159	5	E	Human LCLs'!E159	Human LCLs'!E160	Human LCLs'!E161	6	4	19131		
159	6	F	Human LCLs'!F159	Human LCLs'!F160	Human LCLs'!F161	6	5	19131		
159	7	G	Human LCLs'!G159	Human LCLs'!G160	Human LCLs'!G161	6	6	19131		
159	8	H	Human LCLs'!H159	Human LCLs'!H160	Human LCLs'!H161	6	7	19131		
159	9	I	Human LCLs'!I159	Human LCLs'!I160	Human LCLs'!I161	6	8	19131		
159	10	J	Human LCLs'!J159	Human LCLs'!J160	Human LCLs'!J161	6	9	19131		
162	2	B	Human LCLs'!B162	Human LCLs'!B163	Human LCLs'!B164	6	10	19223		
162	3	C	Human LCLs'!C162	Human LCLs'!C163	Human LCLs'!C164	6	11	19223		
162	4	D	Human LCLs'!D162	Human LCLs'!D163	Human LCLs'!D164	6	12	19223		
162	5	E	Human LCLs'!E162	Human LCLs'!E163	Human LCLs'!E164	6	13	19223		
162	6	F	Human LCLs'!F162	Human LCLs'!F163	Human LCLs'!F164	6	14			
162	7	G	Human LCLs'!G162	Human LCLs'!G163	Human LCLs'!G164	6	15	18097		
162	8	H	Human LCLs'!H162	Human LCLs'!H163	Human LCLs'!H164	6	16	18097		
162	9	I	Human LCLs'!I162	Human LCLs'!I163	Human LCLs'!I164	6	17	18097		
162	10	J	Human LCLs'!J162	Human LCLs'!J163	Human LCLs'!J164	6	18	19101		
165	2	B	Human LCLs'!B165	Human LCLs'!B166	Human LCLs'!B167	6	19	19239		
165	3	C	Human LCLs'!C165	Human LCLs'!C166	Human LCLs'!C167	6	20	19239		
165	4	D	Human LCLs'!D165	Human LCLs'!D166	Human LCLs'!D167	6	21	19239		
165	5	E	Human LCLs'!E165	Human LCLs'!E166	Human LCLs'!E167	6	22	19239		
165	6	F	Human LCLs'!F165	Human LCLs'!F166	Human LCLs'!F167	6	23	19239		
165	7	G	Human LCLs'!G165	Human LCLs'!G166	Human LCLs'!G167	6	24	19239		
165	8	H	Human LCLs'!H165	Human LCLs'!H166	Human LCLs'!H167	6	25	19239		
165	9	I	Human LCLs'!I165	Human LCLs'!I166	Human LCLs'!I167	6	26	19239		
165	10	J	Human LCLs'!J165	Human LCLs'!J166	Human LCLs'!J167	6	27	18913		
168	2	B	Human LCLs'!B168	Human LCLs'!B169	Human LCLs'!B170	6	28	19238		
168	3	C	Human LCLs'!C168	Human LCLs'!C169	Human LCLs'!C170	6	29	19238		
168	4	D	Human LCLs'!D168	Human LCLs'!D169	Human LCLs'!D170	6	30	19238		
168	5	E	Human LCLs'!E168	Human LCLs'!E169	Human LCLs'!E170	6	31	19238		
168	6	F	Human LCLs'!F168	Human LCLs'!F169	Human LCLs'!F170	6	32	19238		
168	7	G	Human LCLs'!G168	Human LCLs'!G169	Human LCLs'!G170	6	33	19238		
168	8	H	Human LCLs'!H168	Human LCLs'!H169	Human LCLs'!H170	6	34	19238		
168	9	I	Human LCLs'!I168	Human LCLs'!I169	Human LCLs'!I170	6	35	19238		
168	10	J	Human LCLs'!J168	Human LCLs'!J169	Human LCLs'!J170	6	36	19238		
171	2	B	Human LCLs'!B171	Human LCLs'!B172	Human LCLs'!B173	6	37	19130		
171	3	C	Human LCLs'!C171	Human LCLs'!C172	Human LCLs'!C173	6	38	19130		
171	4	D	Human LCLs'!D171	Human LCLs'!D172	Human LCLs'!D173	6	39	19130		
171	5	E	Human LCLs'!E171	Human LCLs'!E172	Human LCLs'!E173	6	40	19130		
171	6	F	Human LCLs'!F171	Human LCLs'!F172	Human LCLs'!F173	6	41	19130		
171	7	G	Human LCLs'!G171	Human LCLs'!G172	Human LCLs'!G173	6	42	19130		
171	8	H	Human LCLs'!H171	Human LCLs'!H172	Human LCLs'!H173	6	43	19130		
171	9	I	Human LCLs'!I171	Human LCLs'!I172	Human LCLs'!I173	6	44	19130		
171	10	J	Human LCLs'!J171	Human LCLs'!J172	Human LCLs'!J173	6	45	19130		
174	2	B	Human LCLs'!B174	Human LCLs'!B175	Human LCLs'!B176	6	46	19127		
174	3	C	Human LCLs'!C174	Human LCLs'!C175	Human LCLs'!C176	6	47	19127		
174	4	D	Human LCLs'!D174	Human LCLs'!D175	Human LCLs'!D176	6	48	19127		
174	5	E	Human LCLs'!E174	Human LCLs'!E175	Human LCLs'!E176	6	49	19127		
174	6	F	Human LCLs'!F174	Human LCLs'!F175	Human LCLs'!F176	6	50	19127		
174	7	G	Human LCLs'!G174	Human LCLs'!G175	Human LCLs'!G176	6	51	19127		
174	8	H	Human LCLs'!H174	Human LCLs'!H175	Human LCLs'!H176	6	52	18504		
174	9	I	Human LCLs'!I174	Human LCLs'!I175	Human LCLs'!I176	6	53	18504		
174	10	J	Human LCLs'!J174	Human LCLs'!J175	Human LCLs'!J176	6	54	18504		
177	2	B	Human LCLs'!B177	Human LCLs'!B178	Human LCLs'!B179	6	55	18517		
177	3	C	Human LCLs'!C177	Human LCLs'!C178	Human LCLs'!C179	6	56	18517		
177	4	D	Human LCLs'!D177	Human LCLs'!D178	Human LCLs'!D179	6	57	18517		
177	5	E	Human LCLs'!E177	Human LCLs'!E178	Human LCLs'!E179	6	58	18517		
177	6	F	Human LCLs'!F177	Human LCLs'!F178	Human LCLs'!F179	6	59			
177	7	G	Human LCLs'!G177	Human LCLs'!G178	Human LCLs'!G179	6	60	19152		
177	8	H	Human LCLs'!H177	Human LCLs'!H178	Human LCLs'!H179	6	61	19152		
177	9	I	Human LCLs'!I177	Human LCLs'!I178	Human LCLs'!I179	6	62	19152		
177	10	J	Human LCLs'!J177	Human LCLs'!J178	Human LCLs'!J179	6	63	19152		
180	2	B	Human LCLs'!B180	Human LCLs'!B181	Human LCLs'!B182	6	64	18859		
180	3	C	Human LCLs'!C180	Human LCLs'!C181	Human LCLs'!C182	6	65	18859		
180	4	D	Human LCLs'!D180	Human LCLs'!D181	Human LCLs'!D182	6	66	18859		
180	5	E	Human LCLs'!E180	Human LCLs'!E181	Human LCLs'!E182	6	67	18859		
180	6	F	Human LCLs'!F180	Human LCLs'!F181	Human LCLs'!F182	6	68	18859		
180	7	G	Human LCLs'!G180	Human LCLs'!G181	Human LCLs'!G182	6	69	18859		
180	8	H	Human LCLs'!H180	Human LCLs'!H181	Human LCLs'!H182	6	70	18859		
180	9	I	Human LCLs'!I180	Human LCLs'!I181	Human LCLs'!I182	6	71	18859		
180	10	J	Human LCLs'!J180	Human LCLs'!J181	Human LCLs'!J182	6	72	18859		
183	2	B	Human LCLs'!B183	Human LCLs'!B184	Human LCLs'!B185	6	73	19143		
183	3	C	Human LCLs'!C183	Human LCLs'!C184	Human LCLs'!C185	6	74	19143		
183	4	D	Human LCLs'!D183	Human LCLs'!D184	Human LCLs'!D185	6	75	19143		
183	5	E	Human LCLs'!E183	Human LCLs'!E184	Human LCLs'!E185	6	76	19143		
183	6	F	Human LCLs'!F183	Human LCLs'!F184	Human LCLs'!F185	6	77			
183	7	G	Human LCLs'!G183	Human LCLs'!G184	Human LCLs'!G185	6	78	19144		
183	8	H	Human LCLs'!H183	Human LCLs'!H184	Human LCLs'!H185	6	79	19144		
183	9	I	Human LCLs'!I183	Human LCLs'!I184	Human LCLs'!I185	6	80	19144		
183	10	J	Human LCLs'!J183	Human LCLs'!J184	Human LCLs'!J185	6	81			
190	2	B	Human LCLs'!B190	Human LCLs'!B191	Human LCLs'!B192	7	1	19190		
190	3	C	Human LCLs'!C190	Human LCLs'!C191	Human LCLs'!C192	7	2	19190		
190	4	D	Human LCLs'!D190	Human LCLs'!D191	Human LCLs'!D192	7	3	19190		
190	5	E	Human LCLs'!E190	Human LCLs'!E191	Human LCLs'!E192	7	4	19190		
190	6	F	Human LCLs'!F190	Human LCLs'!F191	Human LCLs'!F192	7	5	19190		
190	7	G	Human LCLs'!G190	Human LCLs'!G191	Human LCLs'!G192	7	6	19190		
190	8	H	Human LCLs'!H190	Human LCLs'!H191	Human LCLs'!H192	7	7	19147		
190	9	I	Human LCLs'!I190	Human LCLs'!I191	Human LCLs'!I192	7	8	19147		
190	10	J	Human LCLs'!J190	Human LCLs'!J191	Human LCLs'!J192	7	9	19147		
193	2	B	Human LCLs'!B193	Human LCLs'!B194	Human LCLs'!B195	7	10	18852		
193	3	C	Human LCLs'!C193	Human LCLs'!C194	Human LCLs'!C195	7	11	18852		
193	4	D	Human LCLs'!D193	Human LCLs'!D194	Human LCLs'!D195	7	12	18852		
193	5	E	Human LCLs'!E193	Human LCLs'!E194	Human LCLs'!E195	7	13	18852		
193	6	F	Human LCLs'!F193	Human LCLs'!F194	Human LCLs'!F195	7	14	18909		
193	7	G	Human LCLs'!G193	Human LCLs'!G194	Human LCLs'!G195	7	15	18486		
193	8	H	Human LCLs'!H193	Human LCLs'!H194	Human LCLs'!H195	7	16	18486		
193	9	I	Human LCLs'!I193	Human LCLs'!I194	Human LCLs'!I195	7	17	18486		
193	10	J	Human LCLs'!J193	Human LCLs'!J194	Human LCLs'!J195	7	18	18486		
196	2	B	Human LCLs'!B196	Human LCLs'!B197	Human LCLs'!B198	7	19	19203		
196	3	C	Human LCLs'!C196	Human LCLs'!C197	Human LCLs'!C198	7	20	19203		
196	4	D	Human LCLs'!D196	Human LCLs'!D197	Human LCLs'!D198	7	21	19203		
196	5	E	Human LCLs'!E196	Human LCLs'!E197	Human LCLs'!E198	7	22	19203		
196	6	F	Human LCLs'!F196	Human LCLs'!F197	Human LCLs'!F198	7	23	19203		
196	7	G	Human LCLs'!G196	Human LCLs'!G197	Human LCLs'!G198	7	24	19203		
196	8	H	Human LCLs'!H196	Human LCLs'!H197	Human LCLs'!H198	7	25	19203		
196	9	I	Human LCLs'!I196	Human LCLs'!I197	Human LCLs'!I198	7	26	18856		
196	10	J	Human LCLs'!J196	Human LCLs'!J197	Human LCLs'!J198	7	27	18856		
199	2	B	Human LCLs'!B199	Human LCLs'!B200	Human LCLs'!B201	7	28	18508		
199	3	C	Human LCLs'!C199	Human LCLs'!C200	Human LCLs'!C201	7	29	18508		
199	4	D	Human LCLs'!D199	Human LCLs'!D200	Human LCLs'!D201	7	30	18508		
199	5	E	Human LCLs'!E199	Human LCLs'!E200	Human LCLs'!E201	7	31	18508		
199	6	F	Human LCLs'!F199	Human LCLs'!F200	Human LCLs'!F201	7	32	18508		
199	7	G	Human LCLs'!G199	Human LCLs'!G200	Human LCLs'!G201	7	33	18508		
199	8	H	Human LCLs'!H199	Human LCLs'!H200	Human LCLs'!H201	7	34	18508		
199	9	I	Human LCLs'!I199	Human LCLs'!I200	Human LCLs'!I201	7	35	18508		
199	10	J	Human LCLs'!J199	Human LCLs'!J200	Human LCLs'!J201	7	36	18508		
202	2	B	Human LCLs'!B202	Human LCLs'!B203	Human LCLs'!B204	7	37	18502		
202	3	C	Human LCLs'!C202	Human LCLs'!C203	Human LCLs'!C204	7	38	18502		
202	4	D	Human LCLs'!D202	Human LCLs'!D203	Human LCLs'!D204	7	39	18502		
202	5	E	Human LCLs'!E202	Human LCLs'!E203	Human LCLs'!E204	7	40	18502		
202	6	F	Human LCLs'!F202	Human LCLs'!F203	Human LCLs'!F204	7	41	18502		
202	7	G	Human LCLs'!G202	Human LCLs'!G203	Human LCLs'!G204	7	42	19116		
202	8	H	Human LCLs'!H202	Human LCLs'!H203	Human LCLs'!H204	7	43	19116		
202	9	I	Human LCLs'!I202	Human LCLs'!I203	Human LCLs'!I204	7	44	19116		
202	10	J	Human LCLs'!J202	Human LCLs'!J203	Human LCLs'!J204	7	45	19116		
205	2	B	Human LCLs'!B205	Human LCLs'!B206	Human LCLs'!B207	7	46	18511	banked back by WL 8/25/20	
205	3	C	Human LCLs'!C205	Human LCLs'!C206	Human LCLs'!C207	7	47	18511		
205	4	D	Human LCLs'!D205	Human LCLs'!D206	Human LCLs'!D207	7	48	18511		
205	5	E	Human LCLs'!E205	Human LCLs'!E206	Human LCLs'!E207	7	49	18511		
205	6	F	Human LCLs'!F205	Human LCLs'!F206	Human LCLs'!F207	7	50	18511		
205	7	G	Human LCLs'!G205	Human LCLs'!G206	Human LCLs'!G207	7	51	18511		
205	8	H	Human LCLs'!H205	Human LCLs'!H206	Human LCLs'!H207	7	52	18511		
205	9	I	Human LCLs'!I205	Human LCLs'!I206	Human LCLs'!I207	7	53	18511		
205	10	J	Human LCLs'!J205	Human LCLs'!J206	Human LCLs'!J207	7	54	18499		
208	2	B	Human LCLs'!B208	Human LCLs'!B209	Human LCLs'!B210	7	55	19257		
208	3	C	Human LCLs'!C208	Human LCLs'!C209	Human LCLs'!C210	7	56	19257		
208	4	D	Human LCLs'!D208	Human LCLs'!D209	Human LCLs'!D210	7	57	19257		
208	5	E	Human LCLs'!E208	Human LCLs'!E209	Human LCLs'!E210	7	58	19257		
208	6	F	Human LCLs'!F208	Human LCLs'!F209	Human LCLs'!F210	7	59	19257		
208	7	G	Human LCLs'!G208	Human LCLs'!G209	Human LCLs'!G210	7	60	19257		
208	8	H	Human LCLs'!H208	Human LCLs'!H209	Human LCLs'!H210	7	61	18862		
208	9	I	Human LCLs'!I208	Human LCLs'!I209	Human LCLs'!I210	7	62	18913		
208	10	J	Human LCLs'!J208	Human LCLs'!J209	Human LCLs'!J210	7	63	18916		
211	2	B	Human LCLs'!B211	Human LCLs'!B212	Human LCLs'!B213	7	64	18852		
211	3	C	Human LCLs'!C211	Human LCLs'!C212	Human LCLs'!C213	7	65	18852		
211	4	D	Human LCLs'!D211	Human LCLs'!D212	Human LCLs'!D213	7	66	18852		
211	5	E	Human LCLs'!E211	Human LCLs'!E212	Human LCLs'!E213	7	67	18852		
211	6	F	Human LCLs'!F211	Human LCLs'!F212	Human LCLs'!F213	7	68	18852		
211	7	G	Human LCLs'!G211	Human LCLs'!G212	Human LCLs'!G213	7	69	18852		
211	8	H	Human LCLs'!H211	Human LCLs'!H212	Human LCLs'!H213	7	70	18852		
211	9	I	Human LCLs'!I211	Human LCLs'!I212	Human LCLs'!I213	7	71	19238	for knockdown	
211	10	J	Human LCLs'!J211	Human LCLs'!J212	Human LCLs'!J213	7	72	19238	for knockdown	
214	2	B	Human LCLs'!B214	Human LCLs'!B215	Human LCLs'!B216	7	73	19192		
214	3	C	Human LCLs'!C214	Human LCLs'!C215	Human LCLs'!C216	7	74	19192		
214	4	D	Human LCLs'!D214	Human LCLs'!D215	Human LCLs'!D216	7	75	19192		
214	5	E	Human LCLs'!E214	Human LCLs'!E215	Human LCLs'!E216	7	76	19192		
214	6	F	Human LCLs'!F214	Human LCLs'!F215	Human LCLs'!F216	7	77	19192		
214	7	G	Human LCLs'!G214	Human LCLs'!G215	Human LCLs'!G216	7	78	18517		
214	8	H	Human LCLs'!H214	Human LCLs'!H215	Human LCLs'!H216	7	79	18517		
214	9	I	Human LCLs'!I214	Human LCLs'!I215	Human LCLs'!I216	7	80	18517		
214	10	J	Human LCLs'!J214	Human LCLs'!J215	Human LCLs'!J216	7	81	19238	for knockdown	
221	2	B	Human LCLs'!B221	Human LCLs'!B222	Human LCLs'!B223	8	1	19201		
221	3	C	Human LCLs'!C221	Human LCLs'!C222	Human LCLs'!C223	8	2	19201		
221	4	D	Human LCLs'!D221	Human LCLs'!D222	Human LCLs'!D223	8	3	19201		
221	5	E	Human LCLs'!E221	Human LCLs'!E222	Human LCLs'!E223	8	4	19201		
221	6	F	Human LCLs'!F221	Human LCLs'!F222	Human LCLs'!F223	8	5	19201		
221	7	G	Human LCLs'!G221	Human LCLs'!G222	Human LCLs'!G223	8	6	19201		
221	8	H	Human LCLs'!H221	Human LCLs'!H222	Human LCLs'!H223	8	7	19201		
221	9	I	Human LCLs'!I221	Human LCLs'!I222	Human LCLs'!I223	8	8	18861		
221	10	J	Human LCLs'!J221	Human LCLs'!J222	Human LCLs'!J223	8	9	18498		
224	2	B	Human LCLs'!B224	Human LCLs'!B225	Human LCLs'!B226	8	10	19222		
224	3	C	Human LCLs'!C224	Human LCLs'!C225	Human LCLs'!C226	8	11	19222		
224	4	D	Human LCLs'!D224	Human LCLs'!D225	Human LCLs'!D226	8	12	19222		
